分类,网址,备注,,
临时邮箱,https://www.emailtick.com/,,,
临时邮箱,https://moakt.com/zh/inbox,,,
临时邮箱,https://products.aspose.app/email/zh/gmail-generator,,,
临时邮箱,https://internxt.com/zh/temporary-email,,,
临时手机号,https://sms-activate.org/,付费,,
临时手机号,https://5sim.net/,付费,,
临时手机号,https://sms24.me/en,,接收来自世界各地的短信,
临时手机号、邮箱,https://temp-number.com/,,无中国,
,https://receive-smss.com/,,无中国,
,https://smstome.com/,,无中国,
,https://receive-sms-free.cc/,,有中国无号,
,https://oksms.org/,,美国 英国 加拿大,不能用
,https://jiemahao.com/,,有中国香港,
,https://temporary-phone-number.com/,,有中国香港,
,https://freephonenum.com/,,美国 加拿大,
,https://www.receivesms.org/,,无中国,
,https://www.freereceivesms.com/kr/,,韩国,
,https://online-sms.org/,,,
,https://bestsms.xyz/,,,
,https://www.ajiema.com/,,,
,https://mianfeijiema.com/,,,
,https://bestsms.xyz/,,,
,https://www.ajiema.com/,,,
,https://mianfeijiema.com/,,,